Date,Open,High,Low,Close,Volume
11/30/2023,"82.68","84.00","82.56","83.90","784,640"
11/29/2023,"83.18","83.68","82.66","82.72","415,595"
11/28/2023,"83.00","83.48","82.26","83.22","372,261"
11/27/2023,"83.80","84.04","83.42","83.42","339,889"
11/24/2023,"83.74","84.04","83.50","84.00","293,651"
11/23/2023,"83.82","83.96","83.30","83.66","413,797"
11/22/2023,"83.10","84.50","82.82","84.20","417,440"
11/21/2023,"82.50","83.20","82.30","82.96","544,732"
11/20/2023,"83.18","83.58","82.50","82.86","465,484"
11/17/2023,"83.32","83.96","83.14","83.22","866,438"
11/16/2023,"85.28","85.38","83.28","83.46","673,162"
11/15/2023,"86.00","86.58","85.36","85.38","503,343"
11/14/2023,"85.46","86.04","85.14","85.68","579,436"
11/13/2023,"84.74","85.52","84.66","85.28","375,193"
11/10/2023,"86.06","86.22","83.92","84.72","597,394"
11/09/2023,"86.46","87.42","86.16","86.52","464,941"
11/08/2023,"87.06","87.64","86.16","86.30","748,776"
11/07/2023,"86.48","87.24","86.34","86.78","354,841"
11/06/2023,"86.70","86.98","86.50","86.64","500,585"
11/03/2023,"86.22","87.34","85.68","86.92","512,763"
11/02/2023,"85.12","86.08","85.06","85.72","449,748"
11/01/2023,"84.76","84.94","84.36","84.74","376,878"
10/31/2023,"84.56","85.34","84.34","84.74","736,381"
10/30/2023,"83.80","84.90","83.80","84.38","376,503"
10/27/2023,"84.16","84.52","83.42","83.44","496,648"
10/26/2023,"84.70","85.90","84.36","84.36","667,042"
10/25/2023,"86.52","87.06","83.96","85.52","899,630"
10/24/2023,"83.00","84.38","82.68","84.38","810,005"
10/23/2023,"82.72","83.32","81.96","82.96","490,542"
10/20/2023,"82.94","83.04","81.76","82.64","713,314"
10/19/2023,"82.74","83.62","82.56","83.48","476,146"
10/18/2023,"82.70","83.40","82.44","83.14","394,762"
10/17/2023,"83.16","83.50","81.76","82.62","494,048"
10/16/2023,"83.26","83.46","82.54","83.02","308,521"
10/13/2023,"83.60","84.18","82.90","83.12","352,747"
10/12/2023,"84.82","85.22","84.18","84.18","437,388"
10/11/2023,"83.74","85.06","83.56","84.80","721,825"
10/10/2023,"83.06","84.96","83.00","84.58","670,792"
10/09/2023,"82.28","83.12","82.12","82.30","483,780"
10/06/2023,"83.00","83.26","81.68","82.32","855,587"
10/05/2023,"83.92","85.06","83.66","83.68","684,641"
10/04/2023,"81.70","83.50","81.56","82.74","659,500"
10/03/2023,"82.00","83.34","81.54","82.18","512,338"
10/02/2023,"83.62","83.72","82.10","82.26","568,583"
09/29/2023,"83.50","84.54","83.30","83.46","683,961"
09/28/2023,"83.42","83.48","82.06","82.70","806,019"
09/27/2023,"84.60","84.64","83.46","83.46","712,122"
09/26/2023,"85.00","85.50","84.64","84.64","585,641"
09/25/2023,"86.72","86.84","85.08","85.48","477,798"
09/22/2023,"86.80","87.04","86.28","86.62","353,246"
09/21/2023,"87.26","87.82","87.08","87.26","661,876"
09/20/2023,"86.32","87.88","86.22","87.26","578,505"
09/19/2023,"85.38","86.12","85.36","86.12","533,148"
09/18/2023,"84.94","85.92","84.44","85.62","550,937"
09/15/2023,"85.78","86.04","84.44","85.00","1,680,742"
09/14/2023,"85.24","85.46","84.96","85.30","605,048"
09/13/2023,"85.50","85.74","85.00","85.32","463,516"
09/12/2023,"87.00","87.16","85.80","85.80","663,638"
09/11/2023,"87.06","87.62","86.60","86.70","668,433"
09/08/2023,"87.04","87.30","86.52","87.00","408,471"
09/07/2023,"87.72","87.74","85.46","86.52","777,204"
09/06/2023,"88.06","88.24","87.04","87.94","422,431"
09/05/2023,"88.56","88.98","88.24","88.28","452,536"
09/04/2023,"89.80","90.12","88.58","88.82","304,509"
09/01/2023,"89.96","90.54","89.48","89.56","445,828"
08/31/2023,"91.18","91.46","89.82","89.82","2,790,648"
08/30/2023,"89.44","91.00","89.42","90.66","641,227"
08/29/2023,"91.32","91.80","90.54","90.56","643,752"
08/28/2023,"89.54","90.00","89.40","89.90","456,121"
08/25/2023,"88.64","89.82","88.48","89.52","504,911"
08/24/2023,"89.44","89.70","88.54","88.84","429,986"
08/23/2023,"89.48","90.12","88.94","88.94","409,767"
08/22/2023,"89.22","90.02","89.04","89.30","479,061"
08/21/2023,"89.10","90.10","88.70","88.84","528,985"
08/18/2023,"89.20","89.30","88.28","89.12","616,661"
